web-scraper-order,web-scraper-start-url,company,job-category-link,job-category-link-href,jobFunction,payPeriod,jobTitle,jobTitle-href,payPeriodCode,basePayRange,basePayMin,basePayMax,basePayAvg,totalPayAvg,payType1,pay1,range1,payType2,pay2,range2,payType3,pay3,range3,payType4,pay4,range4,payType5,pay5,range5,country,percent1,percent2,percent3,percent4,percent5
"1692624871-1","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Senior Accountant","https://www.glassdoor.com/Salary/ADP-Senior-Accountant-Salaries-E64_D_KO4,21.htm","/yr","$82K - $113K","$82K","$113K","$96K","$95,852","Base Pay","$83,490/yr","$73K - $96K","Bonus","$5,399/yr","$4K - $8K","Stock","$6,964/yr","$5K - $10K","","","","","","","United States","87.1%","5.6%","7.3%","",""
"1692624882-2","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Collections Specialist","https://www.glassdoor.com/Salary/ADP-Collections-Specialist-Salaries-E64_D_KO4,26.htm","/yr","$44K - $65K","$44K","$65K","$53K","$53,006","Base Pay","$44,065/yr","$37K - $52K","Bonus","$2,125/yr","$2K - $3K","Commission","$6,817/yr","$5K - $10K","","","","","","","United States","83.1%","4%","12.9%","",""
"1692624892-3","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Senior Tax Consultant","https://www.glassdoor.com/Salary/ADP-Senior-Tax-Consultant-Salaries-E64_D_KO4,25.htm","/yr","$82K - $114K","$82K","$114K","$96K","$96,056","Base Pay","$80,983/yr","$71K - $93K","Bonus","$7,473/yr","$6K - $10K","Stock","$7,601/yr","$6K - $11K","","","","","","","United States","84.3%","7.8%","7.9%","",""
"1692624904-4","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Full Level Tax Coordinator","https://www.glassdoor.com/Salary/ADP-Full-Level-Tax-Coordinator-Salaries-E64_D_KO4,30.htm","/yr","$54K - $81K","$54K","$81K","$66K","$65,945","Base Pay","$57,417/yr","$48K - $69K","Bonus","$4,007/yr","$3K - $6K","Stock","$4,521/yr","$3K - $6K","","","","","","","United States","87.1%","6.1%","6.9%","",""
"1692624917-5","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Full Level Tax Specialist","https://www.glassdoor.com/Salary/ADP-Full-Level-Tax-Specialist-Salaries-E64_D_KO4,29.htm","/yr","$56K - $87K","$56K","$87K","$70K","$69,576","Base Pay","$60,527/yr","$49K - $74K","Bonus","$4,094/yr","$3K - $6K","Stock","$4,955/yr","$4K - $7K","","","","","","","United States","87%","5.9%","7.1%","",""
"1692624930-6","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Tax Associate","https://www.glassdoor.com/Salary/ADP-Tax-Associate-Salaries-E64_D_KO4,17.htm","/yr","$48K - $69K","$48K","$69K","$58K","$57,680","Base Pay","$50,961/yr","$43K - $60K","Bonus","$3,096/yr","$2K - $4K","Stock","$3,623/yr","$3K - $5K","","","","","","","United States","88.4%","5.4%","6.3%","",""
"1692624941-7","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Billing Specialist","https://www.glassdoor.com/Salary/ADP-Billing-Specialist-Salaries-E64_D_KO4,22.htm","/yr","$39K - $53K","$39K","$53K","$46K","$45,574","Base Pay","$43,780/yr","$38K - $51K","Bonus","$1,795/yr","$1K - $3K","","","","","","","","","","United States","96.1%","3.9%","","",""
"1692624951-8","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Financial Services Representative","https://www.glassdoor.com/Salary/ADP-Financial-Services-Representative-Salaries-E64_D_KO4,37.htm","/yr","$56K - $89K","$56K","$89K","$70K","$70,070","Base Pay","$48,696/yr","$40K - $59K","Bonus","$4,488/yr","$3K - $6K","Stock","$3,944/yr","$3K - $6K","Commission","$12,941/yr","$10K - $18K","","","","United States","69.5%","6.4%","5.6%","18.5%",""
"1692624962-9","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Finance","https://www.glassdoor.com/Salary/ADP-Finance-Salaries-E64_D_KO4,11.htm","/yr","$80K - $141K","$80K","$141K","$106K","$105,538","Base Pay","$85,134/yr","$64K - $113K","Bonus","$10,069/yr","$8K - $14K","Stock","$10,335/yr","$8K - $14K","","","","","","","United States","80.7%","9.5%","9.8%","",""
"1692624972-10","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Sr Financial Analyst","https://www.glassdoor.com/Salary/ADP-Sr-Financial-Analyst-Salaries-E64_D_KO4,24.htm","/yr","$105K - $150K","$105K","$150K","$124K","$124,364","Base Pay","$101,412/yr","$87K - $118K","Bonus","$11,462/yr","$9K - $16K","Stock","$11,490/yr","$9K - $16K","","","","","","","United States","81.5%","9.2%","9.2%","",""
"1692624980-11","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Senior HRBP","https://www.glassdoor.com/Salary/ADP-Senior-HRBP-Salaries-E64_D_KO4,15.htm","/yr","$117K - $188K","$117K","$188K","$148K","$147,762","Base Pay","$118,656/yr","$95K - $148K","Bonus","$12,597/yr","$9K - $18K","Stock","$16,509/yr","$12K - $23K","","","","","","","United States","80.3%","8.5%","11.2%","",""
"1692624989-12","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Accounts Receivable","https://www.glassdoor.com/Salary/ADP-Accounts-Receivable-Salaries-E64_D_KO4,23.htm","/yr","$43K - $61K","$43K","$61K","$51K","$50,978","Base Pay","$45,553/yr","$39K - $53K","Bonus","$2,277/yr","$2K - $3K","Stock","$3,148/yr","$2K - $4K","","","","","","","United States","89.4%","4.5%","6.2%","",""
"1692625001-13","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Staff Accountant","https://www.glassdoor.com/Salary/ADP-Staff-Accountant-Salaries-E64_D_KO4,20.htm","/yr","$59K - $81K","$59K","$81K","$69K","$68,759","Base Pay","$61,165/yr","$54K - $70K","Bonus","$3,290/yr","$2K - $5K","Stock","$4,304/yr","$3K - $6K","","","","","","","United States","89%","4.8%","6.3%","",""
"1692625033-14","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Tax Manager","https://www.glassdoor.com/Salary/ADP-Tax-Manager-Salaries-E64_D_KO4,15.htm","/yr","$109K - $147K","$109K","$147K","$126K","$125,608","Base Pay","$107,793/yr","$95K - $122K","Bonus","$7,939/yr","$6K - $11K","Stock","$9,876/yr","$7K - $14K","","","","","","","United States","85.8%","6.3%","7.9%","",""
"1692625047-15","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Tax Consultant","https://www.glassdoor.com/Salary/ADP-Tax-Consultant-Salaries-E64_D_KO4,18.htm","/yr","$60K - $86K","$60K","$86K","$72K","$71,506","Base Pay","$60,608/yr","$52K - $71K","Bonus","$5,581/yr","$4K - $8K","Stock","$5,317/yr","$4K - $7K","","","","","","","United States","84.8%","7.8%","7.4%","",""
"1692625075-16","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Accountant","https://www.glassdoor.com/Salary/ADP-Accountant-Salaries-E64_D_KO4,14.htm","/yr","$57K - $87K","$57K","$87K","$70K","$70,255","Base Pay","$61,803/yr","$51K - $75K","Bonus","$3,747/yr","$3K - $5K","Stock","$4,705/yr","$4K - $7K","","","","","","","United States","88%","5.3%","6.7%","",""
"1692625091-17","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Finance Manager","https://www.glassdoor.com/Salary/ADP-Finance-Manager-Salaries-E64_D_KO4,19.htm","/yr","$161K - $254K","$161K","$254K","$200K","$199,711","Base Pay","$120,101/yr","$101K - $143K","Bonus","$17,885/yr","$13K - $25K","Stock","$16,522/yr","$12K - $23K","Commission","$45,203/yr","$34K - $63K","","","","United States","60.1%","9%","8.3%","22.6%",""
"1692625103-18","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Tax Analyst","https://www.glassdoor.com/Salary/ADP-Tax-Analyst-Salaries-E64_D_KO4,15.htm","/yr","$60K - $82K","$60K","$82K","$70K","$69,647","Base Pay","$61,891/yr","$54K - $71K","Bonus","$3,326/yr","$2K - $5K","Stock","$4,431/yr","$3K - $6K","","","","","","","United States","88.9%","4.8%","6.4%","",""
"1692625116-19","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Senior Financial Analyst","https://www.glassdoor.com/Salary/ADP-Senior-Financial-Analyst-Salaries-E64_D_KO4,28.htm","/yr","$93K - $129K","$93K","$129K","$109K","$109,228","Base Pay","$93,428/yr","$82K - $107K","Bonus","$7,434/yr","$6K - $10K","Stock","$8,366/yr","$6K - $12K","","","","","","","United States","85.5%","6.8%","7.7%","",""
"1692625128-20","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Finance-and-Accounting-Salaries-EI_IE64.0,3_DEPT1008.htm","ADP Finance & Accounting Salaries","Annual Pay","Financial Analyst","https://www.glassdoor.com/Salary/ADP-Financial-Analyst-Salaries-E64_D_KO4,21.htm","/yr","$72K - $106K","$72K","$106K","$87K","$87,327","Base Pay","$75,527/yr","$64K - $90K","Bonus","$5,635/yr","$4K - $8K","Stock","$6,164/yr","$5K - $9K","","","","","","","United States","86.5%","6.5%","7.1%","",""
"1692625151-21","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Customer-Services-and-Support-Salaries-EI_IE64.0,3_DEPT1005.htm","ADP Customer Services & Support Salaries","Annual Pay","Client Services Specialist","https://www.glassdoor.com/Salary/ADP-Client-Services-Specialist-Salaries-E64_D_KO4,30.htm","/yr","$52K - $79K","$52K","$79K","$63K","$63,497","Base Pay","$47,623/yr","$40K - $57K","Bonus","$3,198/yr","$2K - $4K","Stock","$3,302/yr","$2K - $5K","Commission","$9,375/yr","$7K - $13K","","","","United States","75%","5%","5.2%","14.8%",""
"1692625161-22","https://www.glassdoor.com/Salary/ADP-Salaries-E64.htm","ADP","View More >","https://www.glassdoor.com/Salary/ADP-Customer-Services-and-Support-Salaries-EI_IE64.0,3_DEPT1005.htm","ADP Customer Services & Support Salaries","Annual Pay","Client Relationship Specialist","https://www.glassdoor.com/Salary/ADP-Client-Relationship-Specialist-Salaries-E64_D_KO4,34.htm","/yr","$57K - $93K","$57K","$93K","$72K","$72,441","Base Pay","$50,696/yr","$41K - $63K","Bonus","$4,780/yr","$4K - $7K","Stock","$4,109/yr","$3K - $6K","Commission","$12,857/yr","$10K - $18K","","","","United States","70%","6.6%","5.7%","17.7%",""
