web-scraper-order,web-scraper-start-url,company,job-category-link,job-category-link-href,jobFunction,payPeriod,jobTitle,jobTitle-href,payPeriodCode,basePayRange,basePayMin,basePayMax,basePayAvg,totalPayAvg,payType1,pay1,range1,payType2,pay2,range2,payType3,pay3,range3,payType4,pay4,range4,payType5,pay5,range5,country,percent1,percent2,percent3,percent4,percent5
"1692282432-1","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","NCE","https://www.glassdoor.com/Salary/Cisco-Systems-NCE-Salaries-E1425_D_KO14,17.htm","/yr","$149K - $278K","$149K","$278K","$198K","$198,343","Base Pay","$136,703/yr","$103K - $191K","Bonus","$21,902/yr","$16K - $31K","Stock","$39,738/yr","$30K - $56K","","","","","","","United States","68.9%","11%","20%","",""
"1692282443-2","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","Intramural Supervisor","https://www.glassdoor.com/Salary/Cisco-Systems-Intramural-Supervisor-Salaries-E1425_D_KO14,35.htm","/yr","$88K - $161K","$88K","$161K","$118K","$117,806","Base Pay","$76,332/yr","$57K - $103K","Bonus","$9,975/yr","$7K - $14K","Stock","$10,058/yr","$8K - $14K","Commission","$21,441/yr","$16K - $30K","","","","United States","64.8%","8.5%","8.5%","18.2%",""
"1692282447-3","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","VSAM","https://www.glassdoor.com/Salary/Cisco-Systems-VSAM-Salaries-E1425_D_KO14,18.htm","/yr","$91K - $160K","$91K","$160K","$120K","$119,714","Base Pay","$74,827/yr","$57K - $98K","Bonus","$9,551/yr","$7K - $13K","Stock","$13,709/yr","$10K - $19K","Commission","$21,627/yr","$16K - $30K","","","","United States","62.5%","8%","11.5%","18.1%",""
"1692282457-4","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","Cisco Choice","https://www.glassdoor.com/Salary/Cisco-Systems-Cisco-Choice-Salaries-E1425_D_KO14,26.htm","/yr","$104K - $190K","$104K","$190K","$139K","$139,305","Base Pay","$104,126/yr","$78K - $141K","Bonus","$14,742/yr","$11K - $21K","Stock","$20,436/yr","$15K - $29K","","","","","","","United States","74.7%","10.6%","14.7%","",""
"1692282464-5","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","TCE","https://www.glassdoor.com/Salary/Cisco-Systems-TCE-Salaries-E1425_D_KO14,17.htm","/yr","$117K - $218K","$117K","$218K","$155K","$155,484","Base Pay","$106,921/yr","$80K - $150K","Bonus","$16,396/yr","$12K - $23K","Stock","$32,167/yr","$24K - $45K","","","","","","","United States","68.8%","10.5%","20.7%","",""
"1692282470-6","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","Choice Intern","https://www.glassdoor.com/Salary/Cisco-Systems-Choice-Intern-Salaries-E1425_D_KO14,27.htm","/yr","$44K - $70K","$44K","$70K","$56K","$55,663","Base Pay","$45,366/yr","$37K - $56K","Bonus","$5,031/yr","$4K - $7K","Stock","$5,266/yr","$4K - $7K","","","","","","","United States","81.5%","9%","9.5%","",""
"1692282481-7","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","Graduate Student","https://www.glassdoor.com/Salary/Cisco-Systems-Graduate-Student-Salaries-E1425_D_KO14,30.htm","/yr","$88K - $149K","$88K","$149K","$114K","$113,984","Base Pay","$88,374/yr","$69K - $113K","Bonus","$10,745/yr","$8K - $15K","Stock","$14,866/yr","$11K - $21K","","","","","","","United States","77.5%","9.4%","13%","",""
"1692282486-8","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","Manager CNG","https://www.glassdoor.com/Salary/Cisco-Systems-Manager-CNG-Salaries-E1425_D_KO14,25.htm","/yr","$176K - $303K","$176K","$303K","$229K","$229,182","Base Pay","$152,711/yr","$119K - $196K","Bonus","$22,009/yr","$17K - $31K","Stock","$39,932/yr","$30K - $56K","Profit Sharing","$14,530/yr","$11K - $20K","","","","United States","66.6%","9.6%","17.4%","6.3%",""
"1692282491-9","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","Co-Op Student Worker","https://www.glassdoor.com/Salary/Cisco-Systems-Co-Op-Student-Worker-Salaries-E1425_DAO.htm?filter.jobTitleExact=Co-Op+Student+Worker","/yr","$56K - $93K","$56K","$93K","$72K","$71,855","Base Pay","$58,318/yr","$46K - $75K","Bonus","$6,407/yr","$5K - $9K","Stock","$7,130/yr","$5K - $10K","","","","","","","United States","81.2%","8.9%","9.9%","",""
"1692282499-10","https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm","Cisco Systems","View More >","https://www.glassdoor.com/Salary/Cisco-Systems-Other-Salaries-EI_IE1425.0,13_DEPT1017.htm","Cisco Systems Other Salaries","Annual Pay","CALO COOP","https://www.glassdoor.com/Salary/Cisco-Systems-CALO-COOP-Salaries-E1425_D_KO14,23.htm","/yr","$45K - $69K","$45K","$69K","$56K","$55,808","Base Pay","$46,144/yr","$38K - $56K","Bonus","$4,596/yr","$3K - $6K","Stock","$5,068/yr","$4K - $7K","","","","","","","United States","82.7%","8.2%","9.1%","",""
