web-scraper-order,web-scraper-start-url,company,job-category-link,job-category-link-href,jobFunction,payPeriod,jobTitle,jobTitle-href,payPeriodCode,basePayRange,basePayMin,basePayMax,basePayAvg,totalPayAvg,payType1,pay1,range1,payType2,pay2,range2,payType3,pay3,range3,payType4,pay4,range4,payType5,pay5,range5,country,percent1,percent2,percent3,percent4,percent5
"1692508302-1","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","Undefined","https://www.glassdoor.com/Salary/Microsoft-Undefined-Salaries-E1651_D_KO10,19.htm","/yr","$163K - $277K","$163K","$277K","$210K","$209,838","Base Pay","$122,337/yr","$97K - $154K","Bonus","$19,745/yr","$15K - $28K","Stock","$28,391/yr","$21K - $40K","Commission","$39,364/yr","$30K - $55K","","","","United States","58.3%","9.4%","13.5%","18.8%",""
"1692508308-2","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","Pmm","https://www.glassdoor.com/Salary/Microsoft-Pmm-Salaries-E1651_D_KO10,13.htm","/yr","$71K - $116K","$71K","$116K","$90K","$90,372","Base Pay","$73,386/yr","$58K - $92K","Bonus","$7,273/yr","$5K - $10K","Stock","$9,713/yr","$7K - $14K","","","","","","","United States","81.2%","8%","10.7%","",""
"1692508315-3","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","Student Worker","https://www.glassdoor.com/Salary/Microsoft-Student-Worker-Salaries-E1651_D_KO10,24.htm","/yr","$44K - $77K","$44K","$77K","$57K","$57,494","Base Pay","$47,064/yr","$36K - $62K","Bonus","$5,341/yr","$4K - $7K","Stock","$5,089/yr","$4K - $7K","","","","","","","United States","81.9%","9.3%","8.9%","",""
"1692508326-4","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","ExploreProgram","https://www.glassdoor.com/Salary/Microsoft-ExploreProgram-Salaries-E1651_D_KO10,24.htm","/yr","$118K - $216K","$118K","$216K","$158K","$157,958","Base Pay","$104,120/yr","$78K - $140K","Bonus","$25,455/yr","$19K - $36K","Stock","$28,383/yr","$21K - $40K","","","","","","","United States","65.9%","16.1%","18%","",""
"1692508334-5","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","Service Ops II","https://www.glassdoor.com/Salary/Microsoft-Service-Ops-II-Salaries-E1651_D_KO10,24.htm","/yr","$68K - $109K","$68K","$109K","$86K","$85,564","Base Pay","$70,179/yr","$56K - $88K","Bonus","$7,653/yr","$6K - $11K","Stock","$7,733/yr","$6K - $11K","","","","","","","United States","82%","8.9%","9%","",""
"1692508342-6","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","Hub Associate","https://www.glassdoor.com/Salary/Microsoft-Hub-Associate-Salaries-E1651_D_KO10,23.htm","/yr","$49K - $81K","$49K","$81K","$62K","$62,475","Base Pay","$50,979/yr","$40K - $65K","Bonus","$5,926/yr","$4K - $8K","Stock","$5,570/yr","$4K - $8K","","","","","","","United States","81.6%","9.5%","8.9%","",""
"1692508349-7","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","TAM","https://www.glassdoor.com/Salary/Microsoft-TAM-Salaries-E1651_D_KO10,13.htm","/yr","$90K - $168K","$90K","$168K","$120K","$120,096","Base Pay","$80,084/yr","$60K - $112K","Bonus","$8,885/yr","$7K - $12K","Stock","$10,512/yr","$8K - $15K","Commission","$20,616/yr","$15K - $29K","","","","United States","66.7%","7.4%","8.8%","17.2%",""
"1692508358-8","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","Explorer Intern","https://www.glassdoor.com/Salary/Microsoft-Explorer-Intern-Salaries-E1651_D_KO10,25.htm","/yr","$85K - $151K","$85K","$151K","$112K","$112,462","Base Pay","$77,722/yr","$59K - $103K","Bonus","$8,650/yr","$6K - $12K","Stock","$9,809/yr","$7K - $14K","Commission","$16,282/yr","$12K - $23K","","","","United States","69.1%","7.7%","8.7%","14.5%",""
"1692508365-9","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","PFE","https://www.glassdoor.com/Salary/Microsoft-PFE-Salaries-E1651_D_KO10,13.htm","/yr","$157K - $289K","$157K","$289K","$210K","$209,965","Base Pay","$116,881/yr","$88K - $158K","Bonus","$16,022/yr","$12K - $22K","Stock","$35,534/yr","$27K - $50K","Commission","$41,527/yr","$31K - $58K","","","","United States","55.7%","7.6%","16.9%","19.8%",""
"1692508372-10","https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm","Microsoft","View More >","https://www.glassdoor.com/Salary/Microsoft-Other-Salaries-EI_IE1651.0,9_DEPT1017.htm","Microsoft Other Salaries","Annual Pay","Graduate Student","https://www.glassdoor.com/Salary/Microsoft-Graduate-Student-Salaries-E1651_D_KO10,26.htm","/yr","$74K - $123K","$74K","$123K","$95K","$94,875","Base Pay","$76,145/yr","$60K - $97K","Bonus","$8,196/yr","$6K - $11K","Stock","$10,534/yr","$8K - $15K","","","","","","","United States","80.3%","8.6%","11.1%","",""
