web-scraper-order,web-scraper-start-url,company,job-category-link,job-category-link-href,jobFunction,payPeriod,jobTitle,jobTitle-href,payPeriodCode,basePayRange,basePayMin,basePayMax,basePayAvg,totalPayAvg,payType1,pay1,range1,payType2,pay2,range2,payType3,pay3,range3,payType4,pay4,range4,payType5,pay5,range5,country,percent1,percent2,percent3,percent4,percent5
"1692584037-1","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","SAP Customer Engagement Manager","https://www.glassdoor.com/Salary/SAP-SAP-Customer-Engagement-Manager-Salaries-E10471_D_KO4,35.htm","/yr","$193K - $326K","$193K","$326K","$248K","$247,560","Base Pay","$138,715/yr","$111K - $173K","Bonus","$23,644/yr","$18K - $33K","Stock","$24,333/yr","$18K - $34K","Commission","$48,230/yr","$36K - $68K","Profit Sharing","$12,639/yr","$9K - $18K","United States","56%","9.6%","9.8%","19.5%","5.1%"
"1692584043-2","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","End User Support","https://www.glassdoor.com/Salary/SAP-End-User-Support-Salaries-E10471_D_KO4,20.htm","/yr","$59K - $97K","$59K","$97K","$76K","$75,598","Base Pay","$62,776/yr","$50K - $79K","Bonus","$6,003/yr","$5K - $8K","Stock","$6,819/yr","$5K - $10K","","","","","","","United States","83%","7.9%","9%","",""
"1692584049-3","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","Senior Engagement Manager","https://www.glassdoor.com/Salary/SAP-Senior-Engagement-Manager-Salaries-E10471_D_KO4,29.htm","/yr","$220K - $366K","$220K","$366K","$280K","$280,249","Base Pay","$160,019/yr","$130K - $197K","Bonus","$26,836/yr","$20K - $38K","Stock","$28,752/yr","$22K - $40K","Commission","$50,265/yr","$38K - $70K","Profit Sharing","$14,377/yr","$11K - $20K","United States","57.1%","9.6%","10.3%","17.9%","5.1%"
"1692584053-4","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","Customer Success Executive","https://www.glassdoor.com/Salary/SAP-Customer-Success-Executive-Salaries-E10471_D_KO4,30.htm","/yr","$95K - $161K","$95K","$161K","$123K","$122,693","Base Pay","$82,627/yr","$65K - $105K","Bonus","$10,542/yr","$8K - $15K","Stock","$9,593/yr","$7K - $13K","Commission","$19,931/yr","$15K - $28K","","","","United States","67.3%","8.6%","7.8%","16.2%",""
"1692584061-5","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","Customer Support Advocate","https://www.glassdoor.com/Salary/SAP-Customer-Support-Advocate-Salaries-E10471_D_KO4,29.htm","/yr","$58K - $93K","$58K","$93K","$73K","$72,999","Base Pay","$52,947/yr","$43K - $65K","Bonus","$4,815/yr","$4K - $7K","Stock","$4,841/yr","$4K - $7K","Commission","$10,396/yr","$8K - $15K","","","","United States","72.5%","6.6%","6.6%","14.2%",""
"1692584066-6","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","Customer Support Specialist","https://www.glassdoor.com/Salary/SAP-Customer-Support-Specialist-Salaries-E10471_D_KO4,31.htm","/yr","$50K - $79K","$50K","$79K","$63K","$62,730","Base Pay","$54,067/yr","$44K - $67K","Bonus","$4,244/yr","$3K - $6K","Stock","$4,419/yr","$3K - $6K","","","","","","","United States","86.2%","6.8%","7%","",""
"1692584070-7","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","Client Support Analyst","https://www.glassdoor.com/Salary/SAP-Client-Support-Analyst-Salaries-E10471_D_KO4,26.htm","/yr","$73K - $119K","$73K","$119K","$93K","$93,010","Base Pay","$73,681/yr","$59K - $92K","Bonus","$7,265/yr","$5K - $10K","Stock","$7,052/yr","$5K - $10K","Profit Sharing","$5,011/yr","$4K - $7K","","","","United States","79.2%","7.8%","7.6%","5.4%",""
"1692584075-8","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","Customer Service Representative","https://www.glassdoor.com/Salary/SAP-Customer-Service-Representative-Salaries-E10471_D_KO4,35.htm","/yr","$43K - $66K","$43K","$66K","$53K","$53,090","Base Pay","$45,272/yr","$37K - $55K","Bonus","$3,657/yr","$3K - $5K","Stock","$4,162/yr","$3K - $6K","","","","","","","United States","85.3%","6.9%","7.8%","",""
"1692584079-9","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","Business Manager","https://www.glassdoor.com/Salary/SAP-Business-Manager-Salaries-E10471_D_KO4,20.htm","/yr","$170K - $288K","$170K","$288K","$219K","$218,511","Base Pay","$117,528/yr","$94K - $147K","Bonus","$20,081/yr","$15K - $28K","Stock","$26,240/yr","$20K - $37K","Commission","$43,002/yr","$32K - $60K","Profit Sharing","$11,660/yr","$9K - $16K","United States","53.8%","9.2%","12%","19.7%","5.3%"
"1692584083-10","https://www.glassdoor.com/Salary/SAP-Salaries-E10471.htm","SAP","View More >","https://www.glassdoor.com/Salary/SAP-Customer-Services-and-Support-Salaries-EI_IE10471.0,3_DEPT1005.htm","SAP Customer Services & Support Salaries","Annual Pay","SAP Consulting Engagement Manager","https://www.glassdoor.com/Salary/SAP-SAP-Consulting-Engagement-Manager-Salaries-E10471_D_KO4,37.htm","/yr","$185K - $304K","$185K","$304K","$235K","$234,781","Base Pay","$139,721/yr","$114K - $171K","Bonus","$19,810/yr","$15K - $28K","Stock","$23,418/yr","$18K - $33K","Commission","$40,203/yr","$30K - $56K","Profit Sharing","$11,630/yr","$9K - $16K","United States","59.5%","8.4%","10%","17.1%","5%"
